"tr_n";"k";"p";"o";"s";"tr_type";"tr_cap"
"15/16";6;9;1;1;"rapid";801
"17/18";5;8;0;2;"rapid";648
"21/22";4;8;0;1;"rapid";594
"209/210";6;10;0;1;"rapid";774
"23/24";5;10;0;0;"rapid";720
"27/28";6;10;0;1;"rapid";774
"33/34";6;10;0;1;"rapid";774
"25/26";3;11;0;1;"rapid";720
"55/56";6;9;0;1;"rapid";720
"29/30";7;7;0;1;"rapid";648
"37/38";7;6;0;1;"rapid";594
"31/32";11;7;0;3;"rapid";828
"41/42";6;9;0;2;"rapid";738
"43/44";8;7;0;0;"rapid";666
"239/240";6;7;0;0;"rapid";594
"49/50";5;6;0;1;"rapid";522
"285/286";9;8;0;0;"rapid";756
"65/66";6;6;0;0;"rapid";540
"67/68";7;8;0;0;"rapid";684
"77/78";8;6;0;1;"rapid";630
"277/278";5;10;0;0;"rapid";720
"83/84";7;6;0;1;"rapid";594
"121/122";7;8;0;1;"rapid";702
"205/206";5;10;0;0;"rapid";720
"233/234";6;9;1;1;"rapid";801
"315/316";5;11;0;1;"rapid";792
"317/318";5;10;0;1;"rapid";738
"319/320";5;7;1;0;"pass";639
"349/350";8;8;0;0;"pass";720
"339/340";6;7;0;1;"pass";612
"375/376";5;7;1;0;"pass";639
"125/126";12;5;0;1;"rapid";720
"147/148";13;5;0;0;"rapid";738
"661/662";11;6;1;0;"pass";801
"673/674";11;6;1;0;"pass";801
"679/680";7;7;0;0;"pass";630
"674/674";6;10;2;0;"pass";918
"662/662";4;15;3;0;"pass";1197
"661/662";6;10;2;0;"pass";918
"636/635";10;6;2;0;"pass";846
"607/607";2;10;5;0;"pass";1017
"602/601";6;14;2;0;"pass";1134
"583/584";1;14;0;0;"pass";792
"581/582";1;14;0;0;"pass";792
"557/557";1;14;0;0;"pass";792
"527/528";1;13;0;0;"pass";738
"495/496";8;10;0;0;"pass";828
"485/486";9;7;0;0;"pass";702
"474/473";7;9;0;0;"pass";738
"447/448";12;6;0;0;"pass";756
"444/443";8;10;0;0;"pass";828
"442/442";9;10;0;0;"pass";864
"439/439";7;12;0;0;"pass";900
"437/437";8;11;0;0;"pass";882
"427/428";9;9;0;0;"pass";810
"423/424";9;9;0;0;"pass";810
"391";7;9;0;0;"pass";738
"392";7;9;0;0;"pass";738
"390/389";8;9;0;0;"pass";774
"387";7;9;0;0;"pass";738
"388";8;11;0;0;"pass";882
"375/376";9;11;0;0;"pass";918
"374/373з";7;12;1;0;"pass";981
"374/373л";8;11;1;0;"pass";963
"371/371";4;13;2;0;"pass";1008
"349/350л";9;11;0;0;"pass";918
"347/347з";7;11;0;1;"pass";864
"347/347л";7;10;1;1;"pass";891
"339/340з";8;12;0;1;"pass";954
"339/340л";8;12;0;1;"pass";954
"337/337";11;7;1;1;"pass";873
"322/321з";8;8;0;0;"pass";720
"322/321л";9;7;0;1;"pass";720
"319/320з";7;10;1;0;"pass";873
"319/320л";7;8;1;0;"pass";765
"310/309з";11;6;0;0;"pass";720
"306/305";6;8;3;0;"pass";891
"287/288";7;11;0;0;"rapid";846
"268/268";6;9;0;0;"rapid";702
"239/240";11;7;0;0;"rapid";774
"233/234";9;7;0;1;"rapid";720
